article_id,nuts_code,nuts2,date,year,trade_protectionism_score,trade_protectionism_confidence,china_threat_score,china_threat_confidence,industrial_intervention_score,industrial_intervention_confidence,econ_nationalism_composite,composite_confidence
597faed1-dee8-4339-a3a2-8603d35d95b3,FR102,FR10,,,0.4851,0.4851,0.1611,0.1611,0.0238,0.0238,0.4851,0.4851
57e4d97d-9b5e-49e2-8ccc-f95ba7f5cc4c,FR101,FR10,,,0.9358,0.9358,0.7886,0.7886,0.9512,0.9512,0.9435,0.9435
e08beb2c-f2d9-4136-8c28-70d9870c631d,FR104,FR10,,,0.9492,0.9972,0.9827,0.9949,0.9722,0.9928,0.9774,0.9774
bf9f8b6b-715e-439a-86f8-5a85c2e30981,FR101,FR10,,,0.6348,0.6385,0.6023,0.6202,0.2164,0.2468,0.6185,0.6185
5eec6ba6-705a-4ff6-af3d-16eba3b3e7e8,FR101,FR10,,,0.4075,0.4403,0.6262,0.6696,0.1844,0.203,0.5168,0.5168
440fbeaa-6310-450b-b2d4-99820864537c,FRL03,FRL0,,,0.9158,0.9682,0.807,0.8408,0.8875,0.9465,0.9016,0.9016
ca1613aa-2796-46ff-b9b8-974409116cd4,FRI12,FRI1,,,0.659,0.7568,0.5981,0.6827,0.8188,0.8936,0.7389,0.7389
15a308e1-e804-41d9-841c-8e27f1a590a8,FRL04,FRL0,,,0.2883,0.3212,0.3337,0.3362,0.4536,0.4561,0.3936,0.3936
ff0b9382-2163-45c8-a639-f336f43f6073,FR101,FR10,,,0.8348,0.8782,0.5618,0.6265,0.6644,0.7191,0.7496,0.7496
6b906fe0-c095-4638-976e-3b674bfc256c,FR101,FR10,,,0.9134,0.9874,0.7383,0.7765,0.8823,0.9554,0.8978,0.8978
29ad549c-b384-474a-bc15-bae201c94b92,FRL03,FRL0,,,0.9921,0.9921,0.7871,0.7871,0.924,0.924,0.9581,0.9581
cb80b671-7258-4d0d-ad9a-f3025f323a55,FRE12,FRE1,,,0.8321,0.8753,0.5902,0.6798,0.7176,0.7933,0.7748,0.7748
ed00d524-0b20-4f61-9c7b-1f0a7f233054,FR101,FR10,,,0.9075,0.934,0.6526,0.7125,0.6944,0.7434,0.801,0.801
0eec1512-d853-42f0-9818-8812fdd8a08c,FRJ13,FRJ1,,,0.8247,0.8247,0.312,0.3295,0.561,0.5888,0.6928,0.6928
33a4b7c6-6e2e-4c03-9942-afe5c64b33a1,FR103,FR10,,,0.5689,0.6229,0.3548,0.3794,0.5261,0.57,0.5475,0.5475
3ce1f9f4-5f1e-47d7-8b3c-4b9a4182fc8a,FR101,FR10,,,0.9372,0.9728,0.9684,0.9728,0.8357,0.8695,0.9528,0.9528
782b68ad-a39f-41dc-bc19-889d5ed31eed,FR101,FR10,,,0.7011,0.8168,0.7339,0.8388,0.898,0.9133,0.8159,0.8159
720752fa-7ae8-42c0-aabd-2486791db3da,FR101,FR10,,,0.7442,0.8144,0.7374,0.8306,0.4622,0.5178,0.7408,0.7408
a69d34d5-74ca-41c6-aaed-3b2583611417,FR101,FR10,,,0.8462,0.894,0.8057,0.8573,0.7253,0.7863,0.826,0.826
36ad2ffc-b08b-49e9-8554-c6c2aae13ddb,FRH01,FRH0,,,0.9707,0.9907,0.9637,0.9805,0.9436,0.9864,0.9672,0.9672
3b47ecbe-d6f8-4e2f-a19e-0298d1e69b33,FRL03,FRL0,,,0.8482,0.8482,0.7096,0.7096,0.4611,0.4611,0.7789,0.7789
590600fb-997b-4922-950f-5a9a0952cb46,FR101,FR10,,,0.9495,0.9495,0.4789,0.4789,0.8791,0.8791,0.9143,0.9143
e0c9d628-5597-4e8d-b43e-74be02ef4401,FRL03,FRL0,,,0.6743,0.6743,0.1149,0.1149,0.2618,0.2618,0.6743,0.6743
3b28c36d-b60a-436c-bec3-f4722c898e09,FR104,FR10,,,0.9845,0.9845,0.8798,0.8798,0.9563,0.9563,0.9704,0.9704
0921cf45-3056-4d90-9d3e-e9096e745755,FR101,FR10,,,0.9825,0.9825,0.3337,0.3337,0.6691,0.6691,0.9825,0.9825
06f98ff7-d2c8-470b-a53c-d37fed53207c,FR101,FR10,,,0.5347,0.5347,0.4993,0.4993,0.4057,0.4057,0.517,0.517
b629a7ac-1072-4d73-8170-4d0f9df51b93,FR101,FR10,,,0.9022,0.9614,0.9018,0.939,0.8697,0.911,0.902,0.902
5605bfb0-29cc-4114-a34e-84c816d09bc3,FRL04,FRL0,,,0.6863,0.6863,0.2092,0.2092,0.3545,0.3545,0.6863,0.6863
404fb9da-96d7-43ef-839a-36cd798cf7e9,FR101,FR10,,,0.7943,0.8466,0.7457,0.7649,0.6995,0.8044,0.77,0.77
d616b6ea-7943-4cce-8615-beec4e326b1a,FR101,FR10,,,0.973,0.9848,0.3195,0.3559,0.8917,0.9548,0.9324,0.9324
b7aa9268-54de-4be4-a42f-6dee58fede06,FRL03,FRL0,,,0.2501,0.2501,0.0226,0.0226,0.0521,0.0521,0.1511,0.1511
41238b82-359d-4a08-9461-0d9fed145a37,FR101,FR10,,,0.8779,0.9922,0.6905,0.7877,0.9158,0.9901,0.8968,0.8968
0a5b4483-13f4-482f-88d1-557311ca3632,FR101,FR10,,,0.0156,0.0175,0.0103,0.0116,0.0064,0.0071,0.013,0.013
e875c67a-3c07-4ff0-8d40-2d06c49b28d6,FRE12,FRE1,,,0.8577,0.8956,0.6092,0.6603,0.649,0.7335,0.7534,0.7534
4697ee27-ac6e-4e5a-a2dd-c3d574606c81,FRL04,FRL0,,,0.8159,0.8723,0.2395,0.2528,0.2727,0.3033,0.8159,0.8159
33668a23-6e4c-41c1-9fcb-efcb63cf85d4,FR106,FR10,,,0.8822,0.8822,0.825,0.825,0.6892,0.6892,0.8536,0.8536
0e0e1427-d422-4e1d-8d4a-4366d75b84bc,FR101,FR10,,,0.1011,0.1011,0.0196,0.0196,0.085,0.085,0.093,0.093
37bf9623-fafc-4d91-9f4d-412a5b186b4a,FRJ23,FRJ2,,,0.1821,0.1821,0.0754,0.0754,0.0977,0.0977,0.1399,0.1399
7ef82467-c6d8-45f8-8323-eeb3e0bddb3e,FR103,FR10,,,0.9719,0.9719,0.9406,0.9406,0.7263,0.7263,0.9563,0.9563
f7546cda-e3f8-4cae-931f-93f7695c26ae,FR101,FR10,,,0.8208,0.8366,0.2548,0.2798,0.9061,0.9803,0.8634,0.8634
a3873d5a-2dd1-4cbd-aab7-da60939d1202,FR101,FR10,,,0.9007,0.9534,0.693,0.7467,0.7384,0.8192,0.8196,0.8196
e7914b56-d487-40d7-8213-dfdfe3451aef,FR101,FR10,2016-08-31,2016.0,0.5186,0.607,0.2522,0.2806,0.4931,0.5461,0.5058,0.5058
14890354-a605-4fff-8ad7-5c0d1ef6ca60,FR101,FR10,,,0.7129,0.7223,0.1784,0.1983,0.6353,0.6415,0.6741,0.6741
85192ea4-a191-4259-b7fc-13be8f125cc9,FRJ23,FRJ2,,,0.7755,0.7755,0.8066,0.8066,0.4897,0.4897,0.7911,0.7911
c2e81691-11e5-466b-980c-e4e38b30b7c6,FRJ13,FRJ1,,,0.6065,0.6362,0.3903,0.4335,0.1651,0.1781,0.4984,0.4984
68242f4b-d74e-4105-a867-2b5571588771,FR101,FR10,,,0.1011,0.1011,0.9556,0.9556,0.1004,0.1004,0.9556,0.9556
d9b288d1-3ecd-4269-a827-2176f08d2cb4,FR101,FR10,,,0.877,0.9625,0.8563,0.9607,0.8836,0.9558,0.8803,0.8803
2737e082-f32a-429c-ad7c-bd4854706767,FRG01,FRG0,,,0.1833,0.1833,0.43,0.43,0.4343,0.4343,0.4322,0.4322
b9381205-289f-4fc7-a8de-ad36715469f9,FR101,FR10,,,0.6251,0.6928,0.3241,0.3528,0.6107,0.6692,0.6179,0.6179
58e2d0c7-4b1f-4bf0-a3c6-89dc1aac1a8f,FR101,FR10,,,0.8899,0.982,0.8634,0.9219,0.9618,0.9898,0.9258,0.9258
a39443f4-a8f3-4ef1-a769-21c19d1da9cc,FRH01,FRH0,,,0.5307,0.5634,0.3137,0.3624,0.6008,0.6554,0.5658,0.5658
d86d4af0-f712-4b89-8879-e9bb9b8b1f22,FRB05,FRB0,,,0.7564,0.8179,0.847,0.9423,0.8959,0.9407,0.8714,0.8714
2a18bcac-1aa7-40cb-89f9-0bf769691daf,FRJ23,FRJ2,,,0.9378,0.9918,0.8114,0.8849,0.9188,0.9638,0.9283,0.9283
af0ad7d5-a7df-4a8d-b27b-471da14b10a6,FRL04,FRL0,,,0.6882,0.7403,0.7967,0.8624,0.7895,0.8626,0.7931,0.7931
c20ca80b-90fe-463f-8eef-2f03fcf0720b,FR101,FR10,,,0.5692,0.5791,0.51,0.5395,0.6043,0.6734,0.5868,0.5868
06cffb6f-b365-43e4-ae98-57b9b58fb499,FR101,FR10,,,0.8998,0.942,0.8201,0.8836,0.6322,0.6641,0.86,0.86
50c53bf6-2ce7-45c1-bc86-d9296abd214a,FRI12,FRI1,,,0.22,0.22,0.0463,0.0463,0.188,0.188,0.204,0.204
8de6c6b9-fccc-4e27-b90e-d73498cc63bb,FRH01,FRH0,,,0.5138,0.5301,0.4359,0.4471,0.5459,0.5459,0.5298,0.5298
