article_id,nuts_code,nuts2,date,year,trade_protectionism_score,trade_protectionism_confidence,trade_pos_prob,trade_neg_prob,china_threat_score,china_threat_confidence,china_pos_prob,china_neg_prob,industrial_intervention_score,industrial_intervention_confidence,industrial_pos_prob,industrial_neg_prob,econ_nationalism_composite_avg,composite_avg_confidence,econ_nationalism_composite_max2,composite_max2_dimensions,composite_max2_top1,composite_max2_top2,composite_max2_dropped
8aec5d51-24ba-4483-a370-6b0884010fa5,FR101,FR10,,,0.1272,0.1272,0.5636,0.4364,-0.602,0.602,0.199,0.801,0.652,0.652,0.826,0.174,0.0591,0.4604,0.3896,industrial+trade,industrial,trade,china
b6d2126b-62e2-4144-abc5-89c58238c41b,FRI12,FRI1,,,-0.0634,0.0634,0.4683,0.5317,-0.5238,0.5238,0.2381,0.7619,0.3579,0.3579,0.679,0.321,-0.0764,0.315,0.1472,industrial+trade,industrial,trade,china
18af247e-6466-4966-8ac9-5bcf174e5e53,FRL04,FRL0,,,-0.3226,0.3226,0.3387,0.6613,-0.5751,0.5751,0.2124,0.7876,0.7302,0.7302,0.8651,0.1349,-0.0558,0.5426,0.2038,industrial+trade,industrial,trade,china
aa90c12d-4ee1-451b-a018-3ab8e4c40576,FRL04,FRL0,,,0.0189,0.0189,0.5095,0.4905,-0.2894,0.2894,0.3553,0.6447,0.595,0.595,0.7975,0.2025,0.1082,0.3011,0.307,industrial+trade,industrial,trade,china
43cdbb86-ac32-465d-a8d7-0875861a52a9,FR101,FR10,,,-0.1905,0.1905,0.4047,0.5953,-0.2887,0.2887,0.3557,0.6443,0.4652,0.4652,0.7326,0.2674,-0.0047,0.3148,0.1373,industrial+trade,industrial,trade,china
a3dd1148-92d6-4406-9931-84644ec1fe81,FRK26,FRK2,,,0.0128,0.0128,0.5064,0.4936,-0.2445,0.2445,0.3777,0.6223,0.4995,0.4995,0.7498,0.2502,0.0893,0.2523,0.2561,industrial+trade,industrial,trade,china
c262d5aa-2eda-4f20-8b4d-6ee1fc3550bb,FR101,FR10,,,-0.0944,0.0944,0.4528,0.5472,-0.396,0.396,0.302,0.698,0.6343,0.6343,0.8171,0.1829,0.048,0.3749,0.2699,industrial+trade,industrial,trade,china
f10b77db-87af-4a34-80fb-bdadb6e7547e,FRI12,FRI1,,,0.0892,0.0892,0.5446,0.4554,-0.0373,0.0373,0.4813,0.5187,0.7869,0.7869,0.8934,0.1066,0.2796,0.3045,0.4381,industrial+trade,industrial,trade,china
82598b23-c2e7-4416-9d86-86c4e45b78a6,FRJ23,FRJ2,,,0.1421,0.1421,0.571,0.429,-0.3666,0.3666,0.3167,0.6833,0.5017,0.5017,0.7509,0.2491,0.0924,0.3368,0.3219,industrial+trade,industrial,trade,china
c0b9bc67-5a92-46d3-8e7b-273a369ef7a6,FR101,FR10,,,0.1473,0.1473,0.5736,0.4264,-0.1852,0.1852,0.4074,0.5926,-0.2965,0.2965,0.3518,0.6482,-0.1115,0.2097,-0.019,trade+china,trade,china,industrial
c7ac9948-ac87-4921-a836-7f4a1128b451,FRK26,FRK2,,,0.1576,0.1576,0.5788,0.4212,-0.45,0.45,0.275,0.725,0.8665,0.8665,0.9333,0.0667,0.1914,0.4914,0.5121,industrial+trade,industrial,trade,china
2edf869c-76e2-4903-88c7-575f73127906,FRB05,FRB0,,,0.1773,0.1773,0.5887,0.4113,-0.2844,0.2844,0.3578,0.6422,-0.0663,0.0663,0.4668,0.5332,-0.0578,0.176,0.0555,trade+industrial,trade,industrial,china
3d6654e0-3fff-4538-bb6a-e1e071a69e7f,FRH01,FRH0,,,0.0712,0.0712,0.5356,0.4644,-0.6513,0.6513,0.1743,0.8257,0.9036,0.9036,0.9518,0.0482,0.1078,0.542,0.4874,industrial+trade,industrial,trade,china
51c10487-9b73-484f-aec6-64d11ca2e0d2,FRK26,FRK2,,,0.3027,0.3027,0.6514,0.3486,-0.5998,0.5998,0.2001,0.7999,-0.8637,0.8637,0.0682,0.9318,-0.3869,0.5887,-0.1485,trade+china,trade,china,industrial
4d538c38-664a-4e04-8560-2241de1201db,FRB05,FRB0,,,0.2218,0.2218,0.6109,0.3891,-0.1786,0.1786,0.4107,0.5893,0.9111,0.9111,0.9556,0.0444,0.3181,0.4372,0.5665,industrial+trade,industrial,trade,china
fd43bdc1-afbb-4b5b-8759-8cffa219bd31,FR101,FR10,,,-0.3442,0.3442,0.3279,0.6721,-0.4553,0.4553,0.2724,0.7276,0.0595,0.0595,0.5297,0.4703,-0.2467,0.2863,-0.1424,industrial+trade,industrial,trade,china
00fcc14a-538e-4be3-abb7-2670cfce9275,FR101,FR10,,,0.0811,0.0811,0.5406,0.4594,-0.7025,0.7025,0.1487,0.8513,0.2023,0.2023,0.6011,0.3989,-0.1397,0.3286,0.1417,industrial+trade,industrial,trade,china
f2bf05ea-06f5-41d7-ae2f-922511ad08d0,FRH01,FRH0,,,-0.1721,0.1721,0.414,0.586,-0.5885,0.5885,0.2058,0.7942,0.5437,0.5437,0.7718,0.2282,-0.0723,0.4348,0.1858,industrial+trade,industrial,trade,china
793d914d-ba7f-4ce6-a092-9c698bdd2577,FR101,FR10,,,0.1454,0.1454,0.5727,0.4273,-0.3345,0.3345,0.3327,0.6673,0.4882,0.4882,0.7441,0.2559,0.0997,0.3227,0.3168,industrial+trade,industrial,trade,china
5fa30d19-7760-4fd7-8a7f-6872a5eb0046,FR101,FR10,,,0.0315,0.0315,0.5157,0.4843,-0.2188,0.2188,0.3906,0.6094,0.1907,0.1907,0.5954,0.4046,0.0011,0.147,0.1111,industrial+trade,industrial,trade,china
a0bb4f14-d5f7-437f-a771-9c65ae308d8c,FRK26,FRK2,,,-0.0303,0.0303,0.4849,0.5151,-0.1593,0.1593,0.4204,0.5796,-0.4991,0.4991,0.2504,0.7496,-0.2296,0.2296,-0.0948,trade+china,trade,china,industrial
58d00b87-7b26-44b9-9b4a-93d2dd7693ee,FRK26,FRK2,,,-0.1492,0.1492,0.4254,0.5746,-0.4353,0.4353,0.2823,0.7177,0.7828,0.7828,0.8914,0.1086,0.0661,0.4558,0.3168,industrial+trade,industrial,trade,china
84736f03-9dac-4acc-966a-ac555eaa2ed1,FR101,FR10,,,-0.2005,0.2005,0.3998,0.6002,-0.052,0.052,0.474,0.526,-0.5004,0.5004,0.2498,0.7502,-0.251,0.251,-0.1263,china+trade,china,trade,industrial
a0b33405-f55b-486b-abf1-4b28cc972abe,FR101,FR10,,,0.5414,0.5414,0.7707,0.2293,-0.1766,0.1766,0.4117,0.5883,0.6263,0.6263,0.8132,0.1868,0.3304,0.4481,0.5838,industrial+trade,industrial,trade,china
42be8022-ceaf-423f-bfc4-bf8bc135b469,FRK26,FRK2,,,0.5861,0.5861,0.793,0.207,-0.3851,0.3851,0.3075,0.6925,0.6523,0.6523,0.8262,0.1738,0.2844,0.5412,0.6192,industrial+trade,industrial,trade,china
8c152e46-710e-435d-bf27-33aba444d05c,FRI12,FRI1,,,0.2718,0.2718,0.6359,0.3641,-0.2995,0.2995,0.3502,0.6498,0.3883,0.3883,0.6941,0.3059,0.1202,0.3199,0.33,industrial+trade,industrial,trade,china
473d489d-fa1b-47f8-98d9-3e9980ad5c28,FR101,FR10,,,0.6146,0.6146,0.8073,0.1927,-0.594,0.594,0.203,0.797,0.6875,0.6875,0.8438,0.1562,0.236,0.632,0.6511,industrial+trade,industrial,trade,china
7da2f966-4005-4d1b-b00d-c30f93371b91,FR101,FR10,,,-0.0198,0.0198,0.4901,0.5099,-0.0306,0.0306,0.4847,0.5153,0.3,0.3,0.65,0.35,0.0832,0.1168,0.1401,industrial+trade,industrial,trade,china
3e477bda-4dbc-42dc-ae2a-835a4e109c06,FR104,FR10,,,0.5232,0.5232,0.7616,0.2384,-0.9109,0.9109,0.0446,0.9554,0.851,0.851,0.9255,0.0745,0.1544,0.7617,0.6871,industrial+trade,industrial,trade,china
89ac3546-4ceb-40e3-887f-08aefb413f1c,FRJ13,FRJ1,,,-0.1241,0.1241,0.4379,0.5621,-0.3093,0.3093,0.3453,0.6547,-0.4293,0.4293,0.2854,0.7146,-0.2876,0.2876,-0.2167,trade+china,trade,china,industrial
7d3e2b5e-5ee6-4a70-a0ac-ba95cd44fc7c,FRJ23,FRJ2,,,-0.21,0.21,0.395,0.605,0.4849,0.4849,0.7425,0.2575,0.3771,0.3771,0.6885,0.3115,0.2173,0.3573,0.431,china+industrial,china,industrial,trade
9f84c944-938a-4fa4-85dc-541c8bfd4d29,FRB05,FRB0,,,-0.0195,0.0195,0.4902,0.5098,-0.6107,0.6107,0.1947,0.8053,0.8819,0.8819,0.941,0.059,0.0839,0.504,0.4312,industrial+trade,industrial,trade,china
c409ea04-ff28-4b21-b22c-555f9a19f6fa,FR102,FR10,,,0.3792,0.3792,0.6896,0.3104,-0.5295,0.5295,0.2352,0.7648,-0.0244,0.0244,0.4878,0.5122,-0.0582,0.311,0.1774,trade+industrial,trade,industrial,china
20f5f331-78e5-428f-89b2-628ceda5218f,FRK26,FRK2,,,0.3788,0.3788,0.6894,0.3106,0.2147,0.2147,0.6074,0.3926,-0.6017,0.6017,0.1992,0.8008,-0.0027,0.3984,0.2968,trade+china,trade,china,industrial
8d7d83e1-783d-48bd-adf8-c0973cf3cef4,FRL03,FRL0,,,0.3332,0.3332,0.6666,0.3334,-0.2969,0.2969,0.3515,0.6485,-0.1253,0.1253,0.4373,0.5627,-0.0297,0.2518,0.104,trade+industrial,trade,industrial,china
9100476c-942a-417a-9cfb-c3c7ff73e461,FR103,FR10,,,0.4363,0.4363,0.7181,0.2819,-0.5926,0.5926,0.2037,0.7963,0.9478,0.9478,0.9739,0.0261,0.2638,0.6589,0.6921,industrial+trade,industrial,trade,china
90ae9dd4-2bdf-4c2b-8271-deef25dfcb91,FRL04,FRL0,,,0.2204,0.2204,0.6102,0.3898,-0.6443,0.6443,0.1778,0.8222,0.3243,0.3243,0.6621,0.3379,-0.0332,0.3963,0.2723,industrial+trade,industrial,trade,china
0d8ec0e3-0e5d-45f4-a6c2-c17938d2e8fc,FR101,FR10,,,-0.4796,0.4796,0.2602,0.7398,-0.2902,0.2902,0.3549,0.6451,0.2209,0.2209,0.6105,0.3895,-0.183,0.3302,-0.0347,industrial+china,industrial,china,trade
db7a24a1-4921-4361-bd4f-05a572c188ef,FR102,FR10,,,0.8834,0.8834,0.9417,0.0583,-0.938,0.938,0.031,0.969,0.6509,0.6509,0.8254,0.1746,0.1988,0.8241,0.7671,trade+industrial,trade,industrial,china
e9f7362c-c175-4b35-9a8f-37a7612a3c29,FRJ13,FRJ1,,,0.1066,0.1066,0.5533,0.4467,-0.3606,0.3606,0.3197,0.6803,0.7918,0.7918,0.8959,0.1041,0.1793,0.4197,0.4492,industrial+trade,industrial,trade,china
344fd34c-b6c0-4a14-8c13-dce989e55c7a,FR101,FR10,,,0.2153,0.2153,0.6077,0.3923,0.2956,0.2956,0.6478,0.3522,-0.4536,0.4536,0.2732,0.7268,0.0191,0.3215,0.2554,china+trade,china,trade,industrial
d5c0d6bd-6f4e-403a-9afd-30587bbca39b,FR101,FR10,,,0.1292,0.1292,0.5646,0.4354,-0.4317,0.4317,0.2841,0.7159,0.7371,0.7371,0.8685,0.1315,0.1449,0.4327,0.4331,industrial+trade,industrial,trade,china
9e589347-0ff2-431c-aef7-1d8d7d1c178d,FRI12,FRI1,,,0.002,0.002,0.501,0.499,-0.0644,0.0644,0.4678,0.5322,0.2858,0.2858,0.6429,0.3571,0.0745,0.1174,0.1439,industrial+trade,industrial,trade,china
933288cf-3ccf-4844-94be-f9bbcaed480c,FRL04,FRL0,,,0.5814,0.5814,0.7907,0.2093,-0.3085,0.3085,0.3457,0.6543,0.9415,0.9415,0.9708,0.0292,0.4048,0.6105,0.7614,industrial+trade,industrial,trade,china
b56d4ef9-56b4-47e5-b0f7-2d6c687d3834,FRK26,FRK2,,,0.3794,0.3794,0.6897,0.3103,-0.3828,0.3828,0.3086,0.6914,0.0434,0.0434,0.5217,0.4783,0.0133,0.2685,0.2114,trade+industrial,trade,industrial,china
ad78ad3d-aaae-4c01-bc50-248ce56cb70b,FRK26,FRK2,,,-0.1316,0.1316,0.4342,0.5658,-0.1858,0.1858,0.4071,0.5929,0.6807,0.6807,0.8404,0.1596,0.1211,0.3327,0.2745,industrial+trade,industrial,trade,china
7167b01a-e86b-43b2-82ab-dcbc9ed2986b,FR101,FR10,,,0.1917,0.1917,0.5958,0.4042,0.1085,0.1085,0.5542,0.4458,0.0449,0.0449,0.5224,0.4776,0.115,0.115,0.1501,trade+china,trade,china,industrial
214d12e0-a6e8-4355-a3c9-19f997a6caa2,FR106,FR10,,,0.3588,0.3588,0.6794,0.3206,-0.347,0.347,0.3265,0.6735,0.8296,0.8296,0.9148,0.0852,0.2805,0.5118,0.5942,industrial+trade,industrial,trade,china
c5509315-884e-4b5e-8089-d55bbf1775db,FR103,FR10,,,0.6966,0.6966,0.8483,0.1517,-0.4859,0.4859,0.2571,0.7429,0.9773,0.9773,0.9886,0.0114,0.396,0.7199,0.8369,industrial+trade,industrial,trade,china
1f3677a7-f3d2-41f6-8040-c188e322359d,FR101,FR10,,,-0.1454,0.1454,0.4273,0.5727,-0.5389,0.5389,0.2306,0.7694,0.5347,0.5347,0.7673,0.2327,-0.0499,0.4063,0.1946,industrial+trade,industrial,trade,china
adc671e6-0116-4630-961d-8046f3f608a9,FRI12,FRI1,,,0.0649,0.0649,0.5324,0.4676,-0.0322,0.0322,0.4839,0.5161,0.6415,0.6415,0.8208,0.1792,0.2247,0.2462,0.3532,industrial+trade,industrial,trade,china
17a854aa-2c17-48b1-bfa1-c97b538f0ff3,FR101,FR10,,,0.0741,0.0741,0.537,0.463,-0.1987,0.1987,0.4006,0.5994,0.7541,0.7541,0.8771,0.1229,0.2098,0.3423,0.4141,industrial+trade,industrial,trade,china
00fcc14a-538e-4be3-abb7-2670cfce9275,FR101,FR10,,,0.0811,0.0811,0.5406,0.4594,-0.7025,0.7025,0.1487,0.8513,0.2023,0.2023,0.6011,0.3989,-0.1397,0.3286,0.1417,industrial+trade,industrial,trade,china
21543614-8d9f-4295-bccc-c39a180d6c88,FR101,FR10,,,0.0585,0.0585,0.5293,0.4707,-0.1364,0.1364,0.4318,0.5682,0.1792,0.1792,0.5896,0.4104,0.0338,0.1247,0.1188,industrial+trade,industrial,trade,china
02d6f5f7-3ca6-4878-a670-53065e46589a,FR103,FR10,,,-0.0361,0.0361,0.4819,0.5181,-0.0828,0.0828,0.4586,0.5414,-0.5133,0.5133,0.2434,0.7566,-0.2107,0.2107,-0.0595,trade+china,trade,china,industrial
f6df3e4a-c2cb-41da-be11-80d2304a9e97,FR101,FR10,,,-0.0983,0.0983,0.4508,0.5492,-0.8103,0.8103,0.0948,0.9052,-0.6715,0.6715,0.1642,0.8358,-0.5267,0.5267,-0.3849,trade+industrial,trade,industrial,china
66ad4232-82f8-4e28-87e9-971eb5b0235f,FR101,FR10,,,0.4396,0.4396,0.7198,0.2802,-0.2484,0.2484,0.3758,0.6242,0.4637,0.4637,0.7319,0.2681,0.2183,0.3839,0.4516,industrial+trade,industrial,trade,china
55d973b0-27f9-422a-be17-a12ffcb4b347,FRK26,FRK2,,,0.2695,0.2695,0.6348,0.3652,-0.4686,0.4686,0.2657,0.7343,0.7734,0.7734,0.8867,0.1133,0.1914,0.5038,0.5214,industrial+trade,industrial,trade,china
bb41c7f2-d669-4f3c-8efd-45a764acc0bb,FR101,FR10,,,0.2568,0.2568,0.6284,0.3716,-0.2435,0.2435,0.3782,0.6218,0.3936,0.3936,0.6968,0.3032,0.1356,0.298,0.3252,industrial+trade,industrial,trade,china
f57aa94f-1fa5-4ead-8d85-4c2151a8bb1d,FRJ13,FRJ1,,,-0.1607,0.1607,0.4196,0.5804,-0.0293,0.0293,0.4854,0.5146,-0.0661,0.0661,0.467,0.533,-0.0854,0.0854,-0.0477,china+industrial,china,industrial,trade
9ecf6a11-486e-40c8-8d43-4e6c02a2d8ff,FRK26,FRK2,,,0.5362,0.5362,0.7681,0.2319,-0.1858,0.1858,0.4071,0.5929,0.7235,0.7235,0.8618,0.1382,0.358,0.4818,0.6299,industrial+trade,industrial,trade,china
f16899d8-239a-406a-8d30-fe839cf4bd78,FR101,FR10,,,0.3527,0.3527,0.6764,0.3236,-0.3032,0.3032,0.3484,0.6516,0.0666,0.0666,0.5333,0.4667,0.0387,0.2408,0.2097,trade+industrial,trade,industrial,china
c912000e-201d-41c6-a8fe-068989093dba,FR106,FR10,,,0.5132,0.5132,0.7566,0.2434,-0.2273,0.2273,0.3863,0.6137,0.7095,0.7095,0.8548,0.1452,0.3318,0.4833,0.6114,industrial+trade,industrial,trade,china
04302903-b211-44eb-8462-cfbe3df3be88,FR101,FR10,,,0.2899,0.2899,0.645,0.355,-0.2107,0.2107,0.3947,0.6053,0.7095,0.7095,0.8548,0.1452,0.2629,0.4034,0.4997,industrial+trade,industrial,trade,china
57df5ced-7aac-426f-ac88-fb7d063bc5c8,FR101,FR10,,,0.3976,0.3976,0.6988,0.3012,-0.7198,0.7198,0.1401,0.8599,-0.0117,0.0117,0.4941,0.5059,-0.1113,0.3764,0.193,trade+industrial,trade,industrial,china
d374f0af-6d21-4f33-81c8-a6af7465b874,FRL03,FRL0,,,-0.0603,0.0603,0.4699,0.5301,-0.1745,0.1745,0.4128,0.5872,-0.6695,0.6695,0.1653,0.8347,-0.3014,0.3014,-0.1174,trade+china,trade,china,industrial
b715f626-72d4-4a70-981c-4cf85d8f6e34,FR101,FR10,,,0.1601,0.1601,0.58,0.42,-0.0727,0.0727,0.4637,0.5363,0.7852,0.7852,0.8926,0.1074,0.2909,0.3393,0.4727,industrial+trade,industrial,trade,china
65b6b975-6174-4b68-80a3-5ace583ac643,FR106,FR10,,,0.2557,0.2557,0.6278,0.3722,-0.503,0.503,0.2485,0.7515,0.9483,0.9483,0.9742,0.0258,0.2337,0.569,0.602,industrial+trade,industrial,trade,china
6ee456cc-25e7-4caa-a2e9-9c6ecfdfb6c2,FR101,FR10,,,0.3017,0.3017,0.6509,0.3491,-0.1248,0.1248,0.4376,0.5624,0.8768,0.8768,0.9384,0.0616,0.3512,0.4344,0.5893,industrial+trade,industrial,trade,china
cec832ba-43ed-4a1a-a640-1ac16c9e6859,FR101,FR10,,,0.5384,0.5384,0.7692,0.2308,-0.6795,0.6795,0.1603,0.8397,-0.9263,0.9263,0.0368,0.9632,-0.3558,0.7147,-0.0706,trade+china,trade,china,industrial
97c31292-eec5-4ff0-af90-b004637c26e3,FRJ23,FRJ2,,,0.1272,0.1272,0.5636,0.4364,-0.5667,0.5667,0.2167,0.7833,0.2559,0.2559,0.628,0.372,-0.0612,0.3166,0.1915,industrial+trade,industrial,trade,china
3f973b69-693e-4583-92d6-649cb97c43fc,FR101,FR10,,,0.1393,0.1393,0.5697,0.4303,-0.3925,0.3925,0.3037,0.6963,0.8915,0.8915,0.9457,0.0543,0.2128,0.4744,0.5154,industrial+trade,industrial,trade,china
caf85264-c8f3-4ada-93b2-fd132532dfa6,FR103,FR10,,,0.0283,0.0283,0.5142,0.4858,-0.0741,0.0741,0.463,0.537,0.1109,0.1109,0.5554,0.4446,0.0217,0.0711,0.0696,industrial+trade,industrial,trade,china
9b1d2af8-7517-4c81-9bdf-502c75944954,FR101,FR10,,,0.349,0.349,0.6745,0.3255,-0.1224,0.1224,0.4388,0.5612,0.2069,0.2069,0.6035,0.3965,0.1445,0.2261,0.2779,trade+industrial,trade,industrial,china
f82f2f30-6e4a-45ff-a2d3-d3e7b25fb7f8,FRG01,FRG0,,,0.206,0.206,0.603,0.397,-0.231,0.231,0.3845,0.6155,0.3568,0.3568,0.6784,0.3216,0.1106,0.2646,0.2814,industrial+trade,industrial,trade,china
0f269b06-3900-4f19-ac1c-af61e4d75c49,FRG01,FRG0,,,0.182,0.182,0.591,0.409,-0.3089,0.3089,0.3455,0.6545,0.3103,0.3103,0.6551,0.3449,0.0611,0.2671,0.2462,industrial+trade,industrial,trade,china
2a88e6b7-3f2a-4440-a71d-65ee274b3798,FRG01,FRG0,,,0.1269,0.1269,0.5634,0.4366,-0.165,0.165,0.4175,0.5825,0.249,0.249,0.6245,0.3755,0.0703,0.1803,0.188,industrial+trade,industrial,trade,china
fdecc2ea-27eb-4497-8356-ad4c0ab950bf,FR106,FR10,,,0.4012,0.4012,0.7006,0.2994,-0.8279,0.8279,0.0861,0.9139,-0.449,0.449,0.2755,0.7245,-0.2919,0.5594,-0.0239,trade+industrial,trade,industrial,china
2dcbe6e4-9b4c-4959-98b3-66014a0421f4,FR101,FR10,,,-0.2318,0.2318,0.3841,0.6159,-0.2067,0.2067,0.3967,0.6033,0.8678,0.8678,0.9339,0.0661,0.1431,0.4354,0.3306,industrial+china,industrial,china,trade
f248a03f-910e-4685-8730-b87483deebd2,FR101,FR10,,,0.6417,0.6417,0.8209,0.1791,0.1784,0.1784,0.5892,0.4108,0.9844,0.9844,0.9922,0.0078,0.6015,0.6015,0.8131,industrial+trade,industrial,trade,china
cb664d64-7deb-4a02-909c-22bd36249dd4,FR101,FR10,,,-0.496,0.496,0.252,0.748,0.0114,0.0114,0.5057,0.4943,0.2098,0.2098,0.6049,0.3951,-0.0916,0.2391,0.1106,industrial+china,industrial,china,trade
